Time;     A1;     A2;     A3
0,163221228;9,97;-0,37;0,2
0,163529775;9,94;-0,34;0,23
0,163838322;9,97;-0,37;0,23
0,164146868;9,97;-0,34;0,26
0,164455415;9,97;-0,37;0,29
0,164763962;10;-0,4;0,34
0,165072508;9,94;-0,37;0,34
0,165381055;10;-0,37;0,34
0,165689602;9,97;-0,34;0,32
0,165998149;9,89;-0,37;0,34
0,166306695;10,06;-0,4;0,29
0,166615242;10,03;-0,37;0,26
0,166923789;9,94;-0,37;0,23
0,167232336;10;-0,37;0,23
0,167540882;9,97;-0,34;0,23
0,167849429;10;-0,34;0,23
0,168157976;9,97;-0,37;0,26
0,168466523;9,97;-0,37;0,29
0,168775069;10,06;-0,37;0,32
0,169083616;9,97;-0,34;0,29
0,169392163;9,97;-0,4;0,32
0,16970071;10,03;-0,4;0,34
0,170009256;10;-0,34;0,37
0,170317803;10,03;-0,4;0,32
0,17062635;10;-0,4;0,32
0,170934897;9,97;-0,4;0,29
0,171243443;9,97;-0,34;0,32
0,17155199;9,97;-0,37;0,29
0,171860537;10;-0,37;0,23
0,172169084;9,97;-0,4;0,2
0,17247763;9,94;-0,4;0,23
0,172786177;10;-0,37;0,23
0,173094724;9,97;-0,37;0,26
0,173403271;9,94;-0,34;0,23
0,173711817;10;-0,37;0,26
0,174020364;9,97;-0,34;0,29
0,174328911;9,97;-0,37;0,32
0,174637458;10,03;-0,34;0,34
0,174946004;9,97;-0,37;0,32
0,175254551;9,97;-0,4;0,34
0,175563098;10,12;-0,37;0,34
0,175871645;9,94;-0,37;0,32
0,176180191;9,86;-0,34;0,32
0,176488738;10,09;-0,37;0,29
0,176797285;10,06;-0,37;0,23
0,177105832;9,92;-0,37;0,23
0,177414378;9,97;-0,34;0,23
0,177722925;9,97;-0,37;0,2
0,178031472;9,97;-0,37;0,23
0,178340019;10;-0,37;0,26
0,178648565;9,97;-0,4;0,29
0,178957112;10;-0,34;0,34
0,179265659;10,03;-0,37;0,34
0,179574205;10,03;-0,37;0,34
0,179882752;10,06;-0,4;0,37
0,180191299;10,03;-0,37;0,34
0,180499846;10;-0,37;0,34
0,180808392;9,97;-0,34;0,32
0,181116939;10;-0,37;0,26
0,181425486;9,94;-0,37;0,2
0,181734033;9,97;-0,37;0,23
0,182042579;9,97;-0,34;0,2
0,182351126;9,97;-0,37;0,2
0,182659673;9,97;-0,34;0,23
0,18296822;10;-0,37;0,32
0,183276766;9,97;-0,37;0,34
0,183585313;10,06;-0,37;0,37
0,18389386;10,03;-0,34;0,34
0,184202407;9,97;-0,4;0,34
0,184510953;9,97;-0,4;0,34
0,1848195;9,97;-0,37;0,34
0,185128047;9,97;-0,37;0,29
0,185436594;9,97;-0,4;0,29
0,18574514;9,94;-0,4;0,26
0,186053687;9,97;-0,37;0,23
0,186362234;9,94;-0,34;0,23
0,186670781;9,94;-0,4;0,23
0,186979327;9,97;-0,4;0,2
0,187287874;9,94;-0,34;0,26
0,187596421;9,97;-0,37;0,29
0,187904968;9,97;-0,37;0,32
0,188213514;9,97;-0,4;0,32
0,188522061;10,06;-0,37;0,34
0,188830608;10,03;-0,37;0,34
0,189139155;10;-0,37;0,34
0,189447701;9,97;-0,37;0,34
0,189756248;9,97;-0,4;0,32
0,190064795;10;-0,4;0,32
0,190373342;9,97;-0,34;0,29
0,190681888;9,94;-0,37;0,26
0,190990435;10,03;-0,37;0,23
0,191298982;9,94;-0,37;0,2
0,191607529;9,94;-0,34;0,23
0,191916075;10;-0,34;0,23
0,192224622;9,97;-0,37;0,26
0,192533169;9,97;-0,37;0,29
0,192841716;9,97;-0,37;0,29
0,193150262;10;-0,37;0,32
0,193458809;10,03;-0,4;0,34
0,193767356;9,97;-0,4;0,34
0,194075902;9,97;-0,37;0,34
0,194384449;10,06;-0,37;0,34
0,194692996;10,03;-0,37;0,32
0,195001543;10;-0,37;0,34
0,195310089;9,97;-0,34;0,29
0,195618636;9,97;-0,4;0,23
0,195927183;9,97;-0,4;0,2
0,19623573;9,97;-0,34;0,23
0,196544276;9,94;-0,37;0,2
0,196852823;10;-0,4;0,23
0,19716137;9,97;-0,37;0,23
0,197469917;9,97;-0,37;0,26
0,197778463;10,03;-0,37;0,32
0,19808701;10,03;-0,37;0,34
0,198395557;9,97;-0,34;0,34
0,198704104;10;-0,37;0,32
0,19901265;9,97;-0,4;0,32
0,199321197;9,97;-0,37;0,34
0,199629744;10,03;-0,37;0,29
0,199938291;10,06;-0,37;0,23
0,200246837;9,97;-0,4;0,2
0,200555384;9,94;-0,37;0,23
0,200863931;10;-0,34;0,2
0,201172478;9,94;-0,37;0,2
0,201481024;10,03;-0,34;0,26
0,201789571;10,06;-0,37;0,29
0,202098118;9,92;-0,34;0,32
0,202406665;10;-0,37;0,34
0,202715211;10,06;-0,4;0,37
0,203023758;9,97;-0,37;0,34
0,203332305;9,97;-0,37;0,32
0,203640852;10;-0,37;0,34
0,203949398;10,03;-0,4;0,32
0,204257945;9,97;-0,37;0,26
0,204566492;9,94;-0,4;0,2
0,204875039;9,97;-0,34;0,23
0,205183585;9,97;-0,37;0,23
0,205492132;9,97;-0,37;0,23
0,205800679;10;-0,37;0,26
0,206109226;9,97;-0,37;0,2
0,206417772;10;-0,4;0,26
0,206726319;9,97;-0,37;0,32
0,207034866;9,97;-0,37;0,34
0,207343413;10;-0,37;0,34
0,207651959;9,97;-0,37;0,37
0,207960506;9,97;-0,37;0,32
0,208269053;10;-0,37;0,32
0,2085776;9,97;-0,34;0,32
0,208886146;9,97;-0,37;0,32
0,209194693;9,97;-0,37;0,29
0,20950324;9,97;-0,37;0,26
0,209811786;9,94;-0,34;0,23
0,210120333;9,97;-0,37;0,2
0,21042888;9,97;-0,37;0,26
0,210737427;9,97;-0,37;0,29
0,211045973;9,97;-0,34;0,26
0,21135452;9,97;-0,37;0,29
0,211663067;10;-0,37;0,34
0,211971614;9,97;-0,37;0,32
0,21228016;10;-0,37;0,34
0,212588707;9,97;-0,37;0,32
0,212897254;9,97;-0,37;0,32
0,213205801;9,97;-0,34;0,32
0,213514347;10;-0,37;0,32
0,213822894;9,97;-0,34;0,29
0,214131441;9,97;-0,4;0,26
0,214439988;9,97;-0,4;0,2
0,214748534;9,97;-0,34;0,23
0,215057081;9,94;-0,37;0,23
0,215365628;9,97;-0,34;0,26
0,215674175;9,94;-0,37;0,23
0,215982721;10;-0,37;0,26
0,216291268;9,97;-0,37;0,29
0,216599815;9,97;-0,34;0,34
0,216908362;10,06;-0,37;0,32
0,217216908;10;-0,37;0,34
0,217525455;9,97;-0,37;0,32
0,217834002;10;-0,4;0,32
0,218142549;9,97;-0,37;0,32
0,218451095;9,97;-0,4;0,29
0,218759642;9,97;-0,4;0,26
0,219068189;9,97;-0,37;0,23
0,219376736;9,97;-0,37;0,2
0,219685282;9,97;-0,34;0,2
0,219993829;10;-0,37;0,23
0,220302376;9,97;-0,37;0,26
0,220610923;9,97;-0,34;0,29
0,220919469;9,97;-0,37;0,32
0,221228016;10;-0,37;0,34
0,221536563;10;-0,37;0,37
0,22184511;9,97;-0,34;0,34
0,222153656;10;-0,37;0,34
0,222462203;10,03;-0,37;0,34
0,22277075;10;-0,4;0,32
0,223079297;9,97;-0,37;0,34
0,223387843;9,97;-0,34;0,29
0,22369639;9,97;-0,37;0,23
0,224004937;9,97;-0,34;0,2
0,224313483;9,94;-0,37;0,23
0,22462203;9,94;-0,34;0,2
0,224930577;9,97;-0,34;0,2
0,225239124;9,97;-0,37;0,26
0,22554767;9,97;-0,37;0,32
0,225856217;10,06;-0,37;0,37
0,226164764;10,03;-0,37;0,34
0,226473311;9,97;-0,4;0,37
0,226781857;10,03;-0,37;0,37
0,227090404;10,06;-0,4;0,34
0,227398951;9,97;-0,37;0,32
0,227707498;9,97;-0,4;0,32
0,228016044;9,97;-0,37;0,23
