Time;     A1;     A2;     A3
0,083307621;10;-0,37;0,32
0,083616168;9,97;-0,4;0,32
0,083924715;9,94;-0,37;0,29
0,084233261;10;-0,37;0,26
0,084541808;9,97;-0,37;0,23
0,084850355;9,97;-0,37;0,23
0,085158902;10;-0,34;0,2
0,085467448;9,97;-0,37;0,26
0,085775995;10;-0,34;0,23
0,086084542;10,03;-0,4;0,23
0,086393089;9,97;-0,4;0,29
0,086701635;10,03;-0,34;0,32
0,087010182;10;-0,4;0,32
0,087318729;9,97;-0,4;0,32
0,087627276;10,03;-0,37;0,32
0,087935822;10;-0,37;0,34
0,088244369;10;-0,4;0,29
0,088552916;9,97;-0,34;0,26
0,088861463;9,97;-0,37;0,23
0,089170009;10,06;-0,37;0,23
0,089478556;10;-0,34;0,2
0,089787103;9,94;-0,37;0,23
0,090095649;9,97;-0,34;0,2
0,090404196;9,97;-0,37;0,23
0,090712743;10;-0,37;0,29
0,09102129;9,97;-0,37;0,32
0,091329836;9,97;-0,37;0,29
0,091638383;10,06;-0,4;0,32
0,09194693;10,03;-0,37;0,34
0,092255477;10;-0,4;0,32
0,092564023;9,97;-0,37;0,37
0,09287257;10,03;-0,37;0,29
0,093181117;10,06;-0,37;0,26
0,093489664;9,97;-0,4;0,29
0,09379821;9,97;-0,37;0,23
0,094106757;9,97;-0,34;0,2
0,094415304;9,97;-0,37;0,26
0,094723851;9,97;-0,34;0,2
0,095032397;10;-0,34;0,2
0,095340944;9,97;-0,34;0,23
0,095649491;9,94;-0,37;0,26
0,095958038;10;-0,37;0,29
0,096266584;10,06;-0,37;0,37
0,096575131;10;-0,37;0,34
0,096883678;9,97;-0,37;0,32
0,097192225;10;-0,4;0,34
0,097500771;10,03;-0,37;0,32
0,097809318;10;-0,37;0,26
0,098117865;9,94;-0,37;0,23
0,098426412;10;-0,4;0,23
0,098734958;10,03;-0,37;0,2
0,099043505;9,97;-0,37;0,23
0,099352052;9,97;-0,34;0,2
0,099660599;10;-0,37;0,23
0,099969145;9,97;-0,37;0,29
0,100277692;10;-0,37;0,32
0,100586239;10,06;-0,37;0,32
0,100894786;10,03;-0,37;0,32
0,101203332;10;-0,37;0,32
0,101511879;10,06;-0,4;0,32
0,101820426;10,03;-0,37;0,32
0,102128973;9,94;-0,4;0,29
0,102437519;9,97;-0,4;0,29
0,102746066;9,97;-0,34;0,26
0,103054613;9,97;-0,37;0,23
