,Time,A1,A2,A3
17130,5.285405739,8.88,-14.66,0.55
17131,5.285714286,8.42,-11.35,-0.26
17132,5.286022832,9.2,-10.92,-1.01
17133,5.286331379,9.23,-5.35,-0.83
17134,5.286639926,10.69,-1.06,-1.15
17135,5.286948473,10.15,-1.41,-0.46
17136,5.287257019,10.86,7.24,-0.57
17137,5.287565566,12.21,3.62,1.35
17138,5.287874113,9.02,-8.94,5.17
17139,5.28818266,9.77,-1.35,2.59
17140,5.288491206,10.95,-2.24,0.11
17141,5.288799753,10.17,-4.57,1.95
17142,5.2891083,10.23,4.94,1.18
17143,5.289416847,7.24,-7.99,-1.06
17144,5.289725393,8.16,-17.93,-3.02
17145,5.29003394,8.77,-11.87,-3.02
17146,5.290342487,9.05,-7.07,-2.07
17147,5.290651034,12.56,3.99,-3.22
17148,5.29095958,6.67,6.15,-3.94
17149,5.291268127,6.18,9.6,-3.36
17150,5.291576674,11.67,18.16,-0.55
17151,5.291885221,6.96,13.88,1.55
17152,5.292193767,8.25,18.25,0.2
17153,5.292502314,11.67,18.62,1.87
17154,5.292810861,10.4,8.42,4.57
17155,5.293119408,14.0,10.75,3.79
17156,5.293427954,14.34,3.31,3.13
17157,5.293736501,12.7,-7.76,3.16
17158,5.294045048,11.58,-7.36,2.5
17159,5.294353595,9.2,-12.59,0.98
17160,5.294662141,8.91,-13.77,0.17
17161,5.294970688,8.85,-10.98,-0.14
17162,5.295279235,9.6,-10.29,-1.18
17163,5.295587782,8.65,-6.06,-1.01
17164,5.295896328,10.03,-2.76,-1.47
17165,5.296204875,11.32,-0.43,-1.49
17166,5.296513422,8.39,1.49,-0.37
17167,5.296821969,14.08,6.98,-0.11
17168,5.297130515,13.54,2.47,3.22
17169,5.297439062,5.23,-10.66,4.4
17170,5.297747609,9.94,-3.36,0.95
17171,5.298056156,12.1,3.76,1.41
17172,5.298364702,9.43,1.06,2.33
17173,5.298673249,9.83,-5.29,0.46
17174,5.298981796,7.1,-23.11,-1.93
17175,5.299290342,7.16,-18.65,-3.54
17176,5.299598889,10.03,-2.9,-2.36
17177,5.299907436,10.69,-5.29,-2.5
17178,5.300215983,8.88,3.16,-4.31
17179,5.300524529,7.7,15.35,-4.22
17180,5.300833076,8.74,14.63,-2.13
17181,5.301141623,7.96,17.3,1.15
17182,5.30145017,8.13,21.35,1.21
17183,5.301758716,9.71,18.59,0.6
17184,5.302067263,11.35,14.05,3.71
17185,5.30237581,13.77,11.81,4.6
17186,5.302684357,14.23,5.63,3.13
17187,5.302992903,13.8,-4.66,3.02
17188,5.30330145,11.81,-10.15,2.82
17189,5.303609997,9.43,-11.61,1.58
17190,5.303918544,9.77,-14.2,0.66
17191,5.30422709,8.77,-14.49,0.34
17192,5.304535637,8.54,-9.86,-0.75
17193,5.304844184,9.74,-7.64,-0.75
17194,5.305152731,9.48,-4.17,-0.57
17195,5.305461277,10.81,0.6,-1.61
17196,5.305769824,10.23,0.8,-0.66
17197,5.306078371,9.94,6.64,-0.37
17198,5.306386918,12.36,3.31,0.92
17199,5.306695464,10.72,-6.67,4.66
17200,5.307004011,8.68,-3.85,2.87
17201,5.307312558,9.25,-7.44,0.2
17202,5.307621105,11.73,-1.29,1.78
17203,5.307929651,10.38,2.07,2.18
17204,5.308238198,5.17,-19.97,-0.34
17205,5.308546745,8.82,-13.59,-3.56
17206,5.308855292,10.78,-3.68,-3.16
17207,5.309163838,8.82,-11.04,-1.84
17208,5.309472385,11.9,6.58,-3.65
17209,5.309780932,6.87,12.93,-4.89
17210,5.310089479,5.29,9.37,-3.99
17211,5.310398025,11.55,19.72,-0.2
17212,5.310706572,7.93,17.36,1.98
17213,5.311015119,7.67,16.76,0.03
17214,5.311323666,11.7,17.07,1.81
17215,5.311632212,11.18,8.79,5.09
17216,5.311940759,14.2,7.24,4.37
17217,5.312249306,14.97,-0.43,3.16
17218,5.312557853,11.58,-9.28,2.87
17219,5.312866399,10.43,-9.97,2.5
17220,5.313174946,9.97,-13.31,1.26
17221,5.313483493,8.74,-13.05,0.0
17222,5.313792039,8.74,-10.15,-0.63
17223,5.314100586,10.12,-7.64,-1.06
17224,5.314409133,9.2,-4.22,-0.83
17225,5.31471768,10.17,-1.81,-1.64
17226,5.315026226,10.72,1.47,-1.58
17227,5.315334773,8.65,2.3,-0.29
17228,5.31564332,13.59,6.01,-0.14
17229,5.315951867,12.93,3.16,2.59
17230,5.316260413,5.63,-11.24,4.45
17231,5.31656896,9.97,-6.09,1.44
17232,5.316877507,12.99,5.09,0.89
17233,5.317186054,7.99,-3.99,2.93
17234,5.3174946,8.54,-13.45,1.61
17235,5.317803147,9.43,-18.14,-2.33
17236,5.318111694,6.75,-16.9,-3.62
17237,5.318420241,10.46,-5.32,-2.21
17238,5.318728787,12.39,1.32,-2.82
17239,5.319037334,6.15,6.27,-4.68
17240,5.319345881,7.07,16.44,-5.06
